id,Act,Scene,Description,work_id
18704,1,1,"DUKE ORSINO’s palace.",1
18705,1,2,"The sea-coast.",1
18706,1,3,"OLIVIA’S house.",1
18707,1,4,"DUKE ORSINO’s palace.",1
18708,1,5,"OLIVIA’S house.",1
18709,2,1,"The sea-coast.",1
18710,2,2,"A street.",1
18711,2,3,"OLIVIA’s house.",1
18712,2,4,"DUKE ORSINO’s palace.",1
18713,2,5,"OLIVIA’s garden.",1
18714,3,1,"OLIVIA’s garden.",1
18715,3,2,"OLIVIA’s house.",1
18716,3,3,"A street.",1
18717,3,4,"OLIVIA’s garden.",1
18718,4,1,"Before OLIVIA’s house.",1
18719,4,2,"OLIVIA’s house.",1
18720,4,3,"OLIVIA’s garden.",1
18721,5,1,"Before OLIVIA’s house.",1
18722,1,1,"Rousillon. The COUNT’s palace.",2
18723,1,2,"Paris. The KING’s palace.",2
18724,1,3,"Rousillon. The COUNT’s palace.",2
18725,2,1,"Paris. The KING’s palace.",2
18726,2,2,"Rousillon. The COUNT’s palace.",2
18727,2,3,"Paris. The KING’s palace.",2
18728,2,4,"Paris. The KING’s palace.",2
18729,2,5,"Paris. The KING’s palace.",2
18730,3,1,"Florence. The DUKE’s palace.",2
18731,3,2,"Rousillon. The COUNT’s palace.",2
18732,3,3,"Florence. Before the DUKE’s palace.",2
18733,3,4,"Rousillon. The COUNT’s palace.",2
18734,3,5,"Florence. Without the walls. A tucket afar off.",2
18735,3,6,"Camp before Florence.",2
18736,3,7,"Florence. The Widow’s house.",2
18737,4,1,"Without the Florentine camp.",2
18738,4,2,"Florence. The Widow’s house.",2
18739,4,3,"The Florentine camp.",2
18740,4,4,"Florence. The Widow’s house.",2
18741,4,5,"Rousillon. The COUNT’s palace.",2
18742,5,1,"Marseilles. A street.",2
18743,5,2,"Rousillon. Before the COUNT’s palace.",2
18744,5,3,"Rousillon. The COUNT’s palace.",2
18745,1,1,"Alexandria. A room in CLEOPATRA’s palace.",3
18746,1,2,"The same. Another room.",3
18747,1,3,"The same. Another room.",3
18748,1,4,"Rome. OCTAVIUS CAESAR’s house.",3
18749,1,5,"Alexandria. CLEOPATRA’s palace.",3
18750,2,1,"Messina. POMPEY’s house.",3
18751,2,2,"Rome. The house of LEPIDUS.",3
18752,2,3,"The same. OCTAVIUS CAESAR’s house.",3
18753,2,4,"The same. A street.",3
18754,2,5,"Alexandria. CLEOPATRA’s palace.",3
18755,2,6,"Near Misenum.",3
18756,2,7,"On board POMPEY’s galley, off Misenum.",3
18757,3,1,"A plain in Syria.",3
18758,3,2,"Rome. An ante-chamber in OCTAVIUS CAESAR’s house.",3
18759,3,3,"Alexandria. CLEOPATRA’s palace.",3
18760,3,4,"Athens. A room in MARK ANTONY’s house.",3
18761,3,5,"The same. Another room.",3
18762,3,6,"Rome. OCTAVIUS CAESAR’s house.",3
18763,3,7,"Near Actium. MARK ANTONY’s camp.",3
18764,3,8,"A plain near Actium.",3
18765,3,9,"Another part of the plain.",3
18766,3,10,"Another part of the plain.
",3
18767,3,11,"Alexandria. CLEOPATRA’s palace.
",3
18768,3,12,"Egypt. OCTAVIUS CAESAR’s camp.
",3
18769,3,13,"Alexandria. CLEOPATRA’s palace.
",3
18770,4,1,"Before Alexandria. OCTAVIUS CAESAR’s camp.",3
18771,4,2,"Alexandria. CLEOPATRA’s palace.",3
18772,4,3,"The same. Before the palace.",3
18773,4,4,"The same. A room in the palace.",3
18774,4,5,"Alexandria. MARK ANTONY’s camp.",3
18775,4,6,"Alexandria. OCTAVIUS CAESAR’s camp.",3
18776,4,7,"Field of battle between the camps.",3
18777,4,8,"Under the walls of Alexandria.",3
18778,4,9,"OCTAVIUS CAESAR’s camp.",3
18779,4,10,"Between the two camps.
",3
18780,4,11,"Another part of the same.
",3
18781,4,12,"Another part of the same.
",3
18782,4,13,"Alexandria. Cleopatra’s palace.
",3
18783,4,14,"The same. Another room.
",3
18784,4,15,"The same. A monument.
",3
18785,5,1,"Alexandria. OCTAVIUS CAESAR’s camp.",3
18786,5,2,"Alexandria. A room in the monument.",3
18787,1,1,"Orchard of OLIVER’S house",4
18788,1,2,"A lawn before the DUKE’S palace",4
18789,1,3,"The DUKE’s palace",4
18790,2,1,"The Forest of Arden",4
18791,2,2,"The DUKE’S palace",4
18792,2,3,"Before OLIVER’S house",4
18793,2,4,"The Forest of Arden",4
18794,2,5,"Another part of the forest",4
18795,2,6,"The forest",4
18796,2,7,"The forest",4
18797,3,1,"The palace",4
18798,3,2,"The forest",4
18799,3,3,"The forest",4
18800,3,4,"The forest",4
18801,3,5,"Another part of the forest",4
18802,4,1,"The forest",4
18803,4,2,"The forest",4
18804,4,3,"The forest",4
18805,5,1,"The forest",4
18806,5,2,"The forest",4
18807,5,3,"The forest",4
18808,5,4,"The forest",4
18809,1,1,"A hall in DUKE SOLINUS’S palace.",5
18810,1,2,"The Mart.",5
18811,2,1,"The house of ANTIPHOLUS of Ephesus.",5
18812,2,2,"A public place.",5
18813,3,1,"Before the house of ANTIPHOLUS of Ephesus.",5
18814,3,2,"The same.",5
18815,4,1,"A public place.",5
18816,4,2,"The house of ANTIPHOLUS of Ephesus.",5
18817,4,3,"A public place.",5
18818,4,4,"A street.",5
18819,5,1,"A street before a Priory.",5
18820,1,1,"Rome. A street.",6
18821,1,2,"Corioli. The Senate-house.",6
18822,1,3,"Rome. A room in CORIOLANUS’ house.",6
18823,1,4,"Before Corioli.",6
18824,1,5,"Corioli. A street.",6
18825,1,6,"Near the camp of Cominius.",6
18826,1,7,"The gates of Corioli.",6
18827,1,8,"A field of battle.",6
18828,1,9,"The Roman camp.",6
18829,1,10,"The camp of the Volsces.
",6
18830,2,1,"Rome. A public place.",6
18831,2,2,"The same. The Capitol.",6
18832,2,3,"The same. The Forum.",6
18833,3,1,"Rome. A street.",6
18834,3,2,"A room in CORIOLANUS’S house.",6
18835,3,3,"The same. The Forum.",6
18836,4,2,"The same. A street near the gate.",6
18837,4,3,"A highway between Rome and Antium.",6
18838,4,4,"Antium. Before Aufidius’s house.",6
18839,4,5,"The same. A hall in Aufidius’s house.",6
18840,4,6,"Rome. A public place.",6
18841,4,7,"A camp, at a small distance from Rome.",6
18842,5,1,"Rome. A public place.",6
18843,5,2,"Entrance of the Volscian camp before Rome.",6
18844,5,3,"The tent of Coriolanus.",6
18845,5,4,"Rome. A public place.",6
18846,5,5,"The same. A street near the gate.",6
18847,5,6,"Antium. A public place.",6
18848,1,1,"Britain. The garden of Cymbeline’s palace.",7
18849,1,2,"The same. A public place.",7
18850,1,3,"A room in Cymbeline’s palace.",7
18851,1,4,"Rome. Philario’s house.",7
18852,1,5,"Britain. A room in Cymbeline’s palace.",7
18853,1,6,"The same. Another room in the palace.",7
18854,2,1,"Britain. Before Cymbeline’s palace.",7
18855,2,2,"Imogen’s bedchamber in Cymbeline’s palace:",7
18856,2,3,"An ante-chamber adjoining Imogen’s apartments.",7
18857,2,4,"Rome. Philario’s house.",7
18858,2,5,"Another room in Philario’s house.",7
18859,3,1,"Britain. A hall in Cymbeline’s palace.",7
18860,3,2,"Another room in the palace.",7
18861,3,3,"Wales: a mountainous country with a cave.",7
18862,3,4,"Country near Milford-Haven.",7
18863,3,5,"A room in Cymbeline’s palace.",7
18864,3,6,"Wales. Before the cave of Belarius.",7
18865,3,7,"Rome. A public place.",7
18866,4,1,"Wales: near the cave of Belarius.",7
18867,4,2,"Before the cave of Belarius.",7
18868,4,3,"A room in Cymbeline’s palace.",7
18869,4,4,"Wales: before the cave of Belarius.",7
18870,5,1,"Britain. The Roman camp.",7
18871,5,2,"Field of battle between the British and Roman camps.",7
18872,5,3,"Another part of the field.",7
18873,5,4,"A British prison.",7
18874,5,5,"Cymbeline’s tent.",7
18875,1,1,"Elsinore. A platform before the Castle.",8
18876,1,2,"Elsinore. A room of state in the Castle.",8
18877,1,3,"Elsinore. A room in the house of Polonius.",8
18878,1,4,"Elsinore. The platform before the Castle.",8
18879,1,5,"Elsinore. The Castle. Another part of the fortifications.",8
18880,2,1,"Elsinore. A room in the house of Polonius.",8
18881,2,2,"Elsinore. A room in the Castle.",8
18882,3,1,"Elsinore. A room in the Castle.",8
18883,3,2,"Elsinore. hall in the Castle.",8
18884,3,3,"A room in the Castle.",8
18885,3,4,"The Queen’s closet.",8
18886,4,1,"Elsinore. A room in the Castle.",8
18887,4,2,"Elsinore. A passage in the Castle.",8
18888,4,3,"Elsinore. A room in the Castle.",8
18889,4,4,"Near Elsinore.",8
18890,4,5,"Elsinore. A room in the Castle.",8
18891,4,6,"Elsinore. Another room in the Castle.",8
18892,4,7,"Elsinore. Another room in the Castle.",8
18893,5,1,"Elsinore. A churchyard.",8
18894,5,2,"Elsinore. A hall in the Castle.",8
18895,1,1,"London. The palace.",9
18896,1,2,"London. An apartment of the Prince’s.",9
18897,1,3,"London. The palace.",9
18898,2,1,"Rochester. An inn yard.",9
18899,2,2,"The highway, near Gadshill.",9
18900,2,3,"Warkworth castle",9
18901,2,4,"The Boar’s-Head Tavern, Eastcheap.",9
18902,3,1,"Bangor. The Archdeacon’s house.",9
18903,3,2,"London. The palace.",9
18904,3,3,"Eastcheap. The Boar’s-Head Tavern.",9
18905,4,1,"The rebel camp near Shrewsbury.",9
18906,4,2,"A public road near Coventry.",9
18907,4,3,"The rebel camp near Shrewsbury.",9
18908,4,4,"York. The ARCHBISHOP’S palace.",9
18909,5,1,"KING HENRY IV’s camp near Shrewsbury.",9
