id,CharName,Abbrev,Description
1,"First Apparition","First Apparition",
2,"First Citizen","First Citizen",
3,"First Conspirator","First Conspirator",
4,"First Gentleman","First Gentleman",
5,"First Goth","First Goth",
6,"First Murderer","First Murderer",
7,"First Musician","First Musician",
8,"First Musician","First Musician",
9,"First Officer","First Officer",
10,"First Player",1Play,
11,"First Senator","First Senator",
12,"First Senator","First Senator","A senator of Venice"
13,"First Servant","First Servant",
14,"First Serving-Man","First Serving-Man",
15,"First Soldier","First Soldier",
16,"First Watchman","First Watchman",
17,"First Watchman","First Watchman",
18,"First Witch","First Witch",
19,"Second Apparition","Second Apparition",
20,"Second Conspirator","Second Conspirator",
21,"Second Gentleman","Second Gentleman",
22,"Second Goth","Second Goth",
23,"Second Murderer","Second Murderer",
24,"Second Musician","Second Musician",
25,"Second Patrician","Second Patrician",
26,"Second Senator","Second Senator",
27,"Second Senator","Second Senator","A senator of Venice"
28,"Second Servant","Second Servant",
29,"Second Serving-Man","Second Serving-Man",
30,"Second Soldier","Second Soldier",
31,"Second Watchman","Second Watchman",
32,"Second Watchman","Second Watchman",
33,"Second Witch","Second Witch",
34,"Third Apparition","Third Apparition",
35,"Third Conspirator","Third Conspirator",
36,"Third Gentleman","Third Gentleman",
37,"Third Goth","Third Goth",
38,"Third Murderer","Third Murderer",
39,"Third Musician","Third Musician",
40,"Third Serving-Man","Third Serving-Man",
41,"Third Watchman","Third Watchman",
42,"Third Witch","Third Witch",
43,"Fourth Gentleman","Fourth Gentleman",
44,Aaron,AARON,"a Moor, beloved by Tamora"
45,Abbot,Abbot,
46,"Lord Abergavenny",ABERGAVENNY,
47,Abhorson,ABHORSON,"an executioner"
48,Abraham,ABRAHAM,"Servant to Montague"
49,Achilles,ACHILLES,"a Greek prince"
50,Adam,ADAM,"servant to Oliver"
51,Adriana,ADRIANA,"wife to Antipholus of Ephesus"
52,Adrian,ADRIAN,"a lord"
53,Aedile,Aedile,
54,Aegeon,AEGEON,"a merchant of Syracuse"
55,Aemilia,AEMILIA,"wife to Aegeon, an abbess at Ephesus"
56,Aemilius,AEMILIUS,"a noble Roman"
57,Aeneas,AENEAS,"one of the Trojan commanders"
58,Agamemnon,AGAMEMNON,"the Greek general"
59,Agrippa,AGRIPPA,"friend to Caesar"
60,"Sir Andrew Aguecheek","SIR ANDREW",
61,Ajax,AJAX,"a Greek prince"
62,Alarbus,ALARBUS,"son to Tamora"
63,Alcibiades,ALCIBIADES,"an Athenian captain"
64,Alexander,ALEXANDER,"servant to Cressida"
65,"Alexander Iden",IDEN,"a Kentish gentleman"
66,Alexas,ALEXAS,"attendant on Cleopatra"
67,Alice,ALICE,"a lady attending on Princess Katherine"
68,All,All,
69,All,All,
70,"All Citizens","All Citizens",
71,"All Conspirators","All Conspirators",
72,All,All,
73,All,All,
74,"All the Goths","All the Goths",
75,All,All,
76,All,All,
77,All,All,
78,All,All,
79,All,All,
80,All,All,
81,All,All,
82,All,All,
83,"All Ladies","All Ladies",
84,"All Lords","All Lords",
85,"All Lords","All Lords",
86,All,ALL,
87,All,All,
88,All,All,
89,All,All,
90,All,All,
91,"All The People","All The People",
92,All,All,
93,All,All,
94,"All Servants","All Servants",
95,All,All,
96,All,All,
97,All,All,
98,All,ALL,
99,Alonso,ALONSO,"king of Naples"
100,Ambassador,Ambassador,
101,Amiens,AMIENS,"lord attending on the banished Duke"
102,Andromache,ANDROMACHE,"wife to Hector"
103,Angelo,ANGELO,"a goldsmith"
104,Angelo,ANGELO,deputy
105,Angus,ANGUS,"Nobleman of Scotland"
106,"Anne Bullen","QUEEN ANNE","Katharine's maid of honor, afterwards Queen"
107,"Anne Page","ANNE PAGE","Mistress Page's daughter"
108,Another,ANOTHER,Another
109,Antenor,ANTENOR,"one of the Trojan commanders"
110,Antigonus,ANTIGONUS,"a lord of Sicilia"
111,Antiochus,ANTIOCHUS,"king of Antioch"
112,"Daughter of Antiochus",Daughter,
113,"Antipholus of Ephesus","ANTIPHOLUS OF EPHESUS","twin brother of Antipholus of Syracuse, son to Aegeon and Aemilia"
114,"Antipholus of Syracuse","ANTIPHOLUS OF SYRACUSE","twin brother of Antipholus of Ephesus, son to Aegeon and Aemelia"
115,Antonio,ANTONIO,"Leonato's brother"
116,Antonio,ANTONIO,"a sea captain, friend to Sebastain"
117,Antonio,ANTONIO,"a merchant of Venice"
118,Antonio,ANTONIO,"the King's brother, the usurping Duke of Milan"
119,Antonio,ANTONIO,"father to Proteus"
120,Antony,ANTONY,"(Marcus Antonius)"
121,Apemantus,APEMANTUS,"a churlish philosopher"
122,Apothecary,Apothecary,
123,Archidamus,ARCHIDAMUS,"a lord of Bohemia"
124,Ariel,ARIEL,"an airy spirit"
125,Artemidorus,ARTEMIDORUS,"of Cnidos, a teacher of rhetoric."
126,Arthur,ARTHUR,"Duke of Bretagne, nephew to the king"
127,Arviragus,ARVIRAGUS,"son to Cymbeline, disguised under the name of Cadwal, supposed son to Morgan"
128,Attendants,Attendants,
129,Attendant,Attendant,
130,Attendant,Attendant,
131,Attendant,ATTENDANT,
132,Audrey,AUDREY,"a country wench"
133,"Duke of Aumerle","DUKE OF AUMERLE","son of the Duke of York"
134,Autolycus,AUTOLYCUS,"a rogue"
135,Bagot,BAGOT,"servant to King Richard II"
136,Balthasar,BALTHASAR,"Servant to Romeo"
137,Balthasar,BALTHASAR,"Attendant on Don Pedro"
138,Balthasar,BALTHASAR,"servant to Portia"
139,Balthazar,BALTHAZAR,"a merchant"
140,Banditti,Banditti,
141,Banquo,BANQUO,"General of the King's army"
142,"Baptista Minola",BAPTISTA,"a gentleman of Padua"
143,"Lord Bardolph","LORD BARDOLPH",
144,Bardolph,BARDOLPH,
145,Bardolph,BARDOLPH,"sharper attending on Falstaff"
146,Barnardine,BARNARDINE,"a dissolute prisoner"
147,Bassanio,BASSANIO,"Antonio's friend, suitor likewise to Portia"
148,Basset,BASSET,"of the Red Rose, or Lancaster, faction"
149,Bassianus,BASSIANUS,"brother to Saturninus; in love with Lavinia"
150,"Bastard of Orleans","BASTARD OF ORLEANS",
151,Bates,BATES,"soldier in King Henry's army"
152,Bawd,Bawd,
153,Beadle,Beadle,
154,"First Beadle","FIRST BEADLE",
155,"Second Beadle","SECOND BEADLE",
156,Beatrice,BEATRICE,"Niece to Leonato"
157,"Duke of Bedford",BEDFORD,"brother to Henry IV, uncle to Henry V"
158,Belarius,BELARIUS,"a banished lord, disguised under the name of Morgan"
159,"Sir Toby Belch","SIR TOBY BELCH","uncle to Olivia"
160,Benedick,BENEDICK,"A young lord of Padua"
161,Benvolio,BENVOLIO,"Nephew to Montague, and friend to Romeo"
162,Berkeley,BERKELEY,"a gentleman attending on Lady Anne"
163,Bernardo,Ber,sentinel
164,Bertram,BERTRAM,"Count of Rousillon"
165,"George Bevis",BEVIS,"a follower of Cade"
166,Bianca,BIANCA,
167,Bianca,BIANCA,"Mistress to Cassio"
168,"Lord Bigot",BIGOT,
169,Biondello,BIONDELLO,
170,Biron,BIRON,"lord attending on the king"
171,"Bishop of Carlisle","BISHOP OF CARLISLE",
172,"Bishop Lincoln",LINCOLN,
173,Blanch,BLANCH,"of Spain, niece to King John"
174,Blunt,BLUNT,
175,Blunt,Blunt,
176,Boatswain,Boatswain,
177,Bolingbroke,BOLINGBROKE,"a conjurer"
178,Bona,BONA,"sister to the French Queen"
179,Borachio,BORACHIO,"Follower of Don Juan"
180,Both,Both,
181,"Both Citizens","Both Citizens",
182,Both,Both,
183,Both,Both,
184,Both,Both,
185,Both,Both,
186,Both,Both,
187,Both,Both,
188,"Both Tribunes","Both Tribunes",
189,Bottom,BOTTOM,"a weaver"
190,Boult,BOULT,"Pandar's servant"
191,"Duke of Bourbon",BOURBON,
192,Boyet,BOYET,"lord attending on the princess of France"
193,Boy,Boy,
194,Boy,Boy,"son of the Master-Gunner"
195,Boy,Boy,
196,Boy,Boy,"a young son of Clarence"
197,Boy,Boy,"servant to Troilus"
198,Brabantio,BRABANTIO,"A senator of Venice"
199,Brandon,BRANDON,
200,Brothers,BROTHERS,
201,Brutus,BRUTUS,"(Marcus Brutus)"
202,"Peter Bullcalf",BULLCALF,"country soldier"
203,Bushy,BUSHY,"servant to King Richard II"
204,Caithness,CAITHNESS,"Nobleman of Scotland"
205,Caius,CAIUS,"kinsman to Titus"
206,"Caius Lucius","CAIUS LUCIUS","general of the Roman forces"
207,Calchas,CALCHAS,"a Trojan priest, taking part with the Greeks"
208,Caliban,CALIBAN,"a savage and deformed slave"
209,Calpurnia,CALPURNIA,"wife to Caesar"
210,"Earl of Cambridge",CAMBRIDGE,
211,Camillo,CAMILLO,"a lord of Sicilia"
212,"Cardinal Campeius","CARDINAL CAMPEIUS",
213,Canidius,CANIDIUS,"lieutenant-general to Antony"
214,"Archbishop of Canterbury",CANTERBURY,
215,Caphis,CAPHIS,"servant to Timon's creditors"
216,Captain,Captain,
217,Captain,Captain,
218,Captain,Captain,
219,Captain,Capt,
220,Captain,Captain,
221,Captain,Captain,
222,Capucius,CAPUCIUS,"Ambassador from the Emperor Charles V"
223,Capulet,CAPULET,"Head of the house of Capulet"
224,"Second Capulet","Second Capulet","An old man, cousin to Capulet"
225,"Cardinal Bourchier",CARDINAL,"archbishop of Canterbury"
226,"Cardinal Pandulph","CARDINAL PANDULPH","the Pope's legate"
227,Carrier,Carrier,
228,Casca,CASCA,"a conspirator against Caesar"
229,Cassandra,CASSANDRA,"daughter to Priam, a prophetess"
230,Cassio,CASSIO,"Othello's lieutenant"
231,Cassius,CASSIUS,"a conspirator against Caesar"
232,"Young Cato",CATO,"friend to Brutus"
233,Celia,CELIA,"daughter to Frederick"
234,Ceres,CERES,"presented by spirits"
235,Cerimon,CERIMON,"a lord of Ephesus"
236,Chamberlain,Chamberlain,
237,Charles,CHARLES,"wrestler to Frederick"
238,"Charles, King of France",CHARLES,"king of France"
239,Charmian,CHARMIAN,"attendant on Cleopatra"
240,Chatillon,CHATILLON,"ambassador from France to King John"
241,"Lord Chief Justice","CHIEF JUSTICE",
242,Children,Children,
243,Chiron,CHIRON,"son to Tamora"
244,Chorus,Chorus,
245,Chorus,Chorus,
246,Chorus,Chorus,
247,Chorus,Chorus,
248,"Christopher Urswick",CHRISTOPHER,"a priest"
249,Cicero,Ciceronis,Senator
250,Cinna,CINNA,"a conspirator against Caesar"
251,"Cinna the Poet","CINNA THE POET",
252,Citizen,Citizen,
253,Citizens,Citizens,
254,Citizens,Citizens,
255,Citizens,Citizens,
256,Claudio,CLAUDIO,"A young lord of Florence"
257,Claudio,CLAUDIO,"a young gentleman"
258,Claudius,King,"King of Denmark"
259,Claudius,CLAUDIUS,"servant to Brutus"
260,Cleomenes,CLEOMENES,"a lord of Sicilia"
261,Cleon,CLEON,"governor of Tarsus"
262,Cleopatra,CLEOPATRA,"queen of Egypt"
263,"Clerk of Chatham",Clerk,
264,Clerk,Clerk,
265,Clitus,CLITUS,"servant to Brutus"
266,Cloten,CLOTEN,"son to the Queen by a former husband"
267,"First Clown",Clown,
268,"Second Clown",Other,
269,Clown,Clown,
270,Clown,Clown,"servant to the Countess"
271,Clown,Clown,"Servant to Othello"
272,Clown,Clown,
273,Clown,Clown,"son of the old Shepherd"
274,Cobweb,COBWEB,"a fairy"
275,"Sir John Colville",COLVILLE,
276,Cominius,COMINIUS,"general against the Volscians"
277,Commons,Commons,
278,Conrade,CONRADE,"Follower of Don Juan"
279,"Constable of France",Constable,
280,Constance,CONSTANCE,"mother to Arthur"
281,Cordelia,Cor,"daughter to Lear"
282,Corin,CORIN,shepherd
283,Coriolanus,CORIOLANUS,"previously Caius Marcius Coriolanus"
284,Cornelius,Cor,courtier
285,Cornelius,CORNELIUS,"a physician"
286,Costard,COSTARD,"a clown"
287,"Countess of Auvergne","COUNTESS OF AUVERGNE",
288,Countess,COUNTESS,"mother to Bertram"
289,Court,COURT,"soldier in King Henry's army"
290,Courtezan,Courtezan,
