id,ParagraphNum,PlainText,character_id,chapter_id
630863,3,"[Enter DUKE ORSINO, CURIO, and other Lords; Musicians attending]",1261,18704
630864,4,"If music be the food of love, play on;
Give me excess of it, that, surfeiting,
The appetite may sicken, and so die.
That strain again! it had a dying fall:
O, it came o'er my ear like the sweet sound,
That breathes upon a bank of violets,
Stealing and giving odour! Enough; no more:
'Tis not so sweet now as it was before.
O spirit of love! how quick and fresh art thou,
That, notwithstanding thy capacity
Receiveth as the sea, nought enters there,
Of what validity and pitch soe'er,
But falls into abatement and low price,
Even in a minute: so full of shapes is fancy
That it alone is high fantastical.",840,18704
630865,19,"Will you go hunt, my lord?",297,18704
630866,20,"What, Curio?",840,18704
630867,21,"The hart.",297,18704
630868,22,"Why, so I do, the noblest that I have:
O, when mine eyes did see Olivia first,
Methought she purged the air of pestilence!
That instant was I turn'd into a hart;
And my desires, like fell and cruel hounds,
E'er since pursue me.
[Enter VALENTINE]
How now! what news from her?",840,18704
630869,30,"So please my lord, I might not be admitted;
But from her handmaid do return this answer:
The element itself, till seven years' heat,
Shall not behold her face at ample view;
But, like a cloistress, she will veiled walk
And water once a day her chamber round
With eye-offending brine: all this to season
A brother's dead love, which she would keep fresh
And lasting in her sad remembrance.",1221,18704
630870,39,"O, she that hath a heart of that fine frame
To pay this debt of love but to a brother,
How will she love, when the rich golden shaft
Hath kill'd the flock of all affections else
That live in her; when liver, brain and heart,
These sovereign thrones, are all supplied, and fill'd
Her sweet perfections with one self king!
Away before me to sweet beds of flowers:
Love-thoughts lie rich when canopied with bowers.",840,18704
630871,48,[Exeunt],1261,18704
630872,50,"[Enter VIOLA, a Captain, and Sailors]",1261,18705
630873,51,"What country, friends, is this?",1238,18705
630874,52,"This is Illyria, lady.",975,18705
630875,53,"And what should I do in Illyria?
My brother he is in Elysium.
Perchance he is not drown'd: what think you, sailors?",1238,18705
630876,56,"It is perchance that you yourself were saved.",975,18705
630877,57,"O my poor brother! and so perchance may he be.",1238,18705
630878,58,"True, madam: and, to comfort you with chance,
Assure yourself, after our ship did split,
When you and those poor number saved with you
Hung on our driving boat, I saw your brother,
Most provident in peril, bind himself,
Courage and hope both teaching him the practise,
To a strong mast that lived upon the sea;
Where, like Arion on the dolphin's back,
I saw him hold acquaintance with the waves
So long as I could see.",975,18705
630879,68,"For saying so, there's gold:
Mine own escape unfoldeth to my hope,
Whereto thy speech serves for authority,
The like of him. Know'st thou this country?",1238,18705
630880,72,"Ay, madam, well; for I was bred and born
Not three hours' travel from this very place.",975,18705
630881,74,"Who governs here?",1238,18705
630882,75,"A noble duke, in nature as in name.",975,18705
630883,76,"What is the name?",1238,18705
630884,77,Orsino.,975,18705
630885,78,"Orsino! I have heard my father name him:
He was a bachelor then.",1238,18705
630886,80,"And so is now, or was so very late;
For but a month ago I went from hence,
And then 'twas fresh in murmur,--as, you know,
What great ones do the less will prattle of,--
That he did seek the love of fair Olivia.",975,18705
630887,85,"What's she?",1238,18705
630888,86,"A virtuous maid, the daughter of a count
That died some twelvemonth since, then leaving her
In the protection of his son, her brother,
Who shortly also died: for whose dear love,
They say, she hath abjured the company
And sight of men.",975,18705
630889,92,"O that I served that lady
And might not be delivered to the world,
Till I had made mine own occasion mellow,
What my estate is!",1238,18705
