id,Title,LongTitle,Date,GenreType
1,"Twelfth Night","Twelfth Night, Or What You Will",1599,Comedy
2,"All's Well That Ends Well","All's Well That Ends Well",1602,Comedy
3,"Antony and Cleopatra","Antony and Cleopatra",1606,Tragedy
4,"As You Like It","As You Like It",1599,Comedy
5,"Comedy of Errors","The Comedy of Errors",1589,Comedy
6,Coriolanus,Coriolanus,1607,Tragedy
7,Cymbeline,"Cymbeline, King of Britain",1609,History
8,Hamlet,"Tragedy of Hamlet, Prince of Denmark, The",1600,Tragedy
9,"Henry IV, Part I","History of Henry IV, Part I",1597,History
10,"Henry IV, Part II","History of Henry IV, Part II",1597,History
11,"Henry V","History of Henry V",1598,History
12,"Henry VI, Part I","History of Henry VI, Part I",1591,History
13,"Henry VI, Part II","History of Henry VI, Part II",1590,History
14,"Henry VI, Part III","History of Henry VI, Part III",1590,History
15,"Henry VIII","History of Henry VIII",1612,History
16,"Julius Caesar","The Tragedy of Julius Caesar",1599,Tragedy
17,"King John","History of King John",1596,History
18,"King Lear","The Tragedy of King Lear",1605,Tragedy
19,"Lover's Complaint","A Lover's Complaint",1609,Poem
20,"Love's Labour's Lost","Love's Labour's Lost",1594,Comedy
21,Macbeth,"The Tragedy of Macbeth",1605,Tragedy
22,"Measure for Measure","Measure for Measure",1604,Comedy
23,"Merchant of Venice","Merchant of Venice, The",1596,Comedy
24,"Merry Wives of Windsor","Merry Wives of Windsor, The",1600,Comedy
25,"Midsummer Night's Dream","A Midsummer Night's Dream",1595,Comedy
26,"Much Ado about Nothing","Much Ado about Nothing",1598,Comedy
27,Othello,"The Tragedy of Othello, Moor of Venice",1604,Tragedy
28,"Passionate Pilgrim","The Passionate Pilgrim",1598,Poem
29,Pericles,"Pericles, Prince of Tyre",1608,History
30,"Phoenix and the Turtle","The Phoenix and the Turtle",1601,Poem
31,"Rape of Lucrece","The Rape of Lucrece",1594,Poem
32,"Richard II","History of Richard II",1595,History
33,"Richard III","History of Richard III",1592,History
34,"Romeo and Juliet","The Tragedy of Romeo and Juliet",1594,Tragedy
35,Sonnets,Sonnets,1609,Sonnet
36,"Taming of the Shrew","The Taming of the Shrew",1593,Comedy
37,Tempest,"The Tempest",1611,Comedy
38,"Timon of Athens","The Tragedy of Timon of Athens",1607,Tragedy
39,"Titus Andronicus","Titus Andronicus",1593,Tragedy
40,"Troilus and Cressida","Troilus and Cressida",1601,Tragedy
41,"Two Gentlemen of Verona","Two Gentlemen of Verona",1594,Comedy
42,"Venus and Adonis","Venus and Adonis",1593,Poem
43,"The Winter's Tale","The Winter's Tale",1610,Comedy
