Title,Note,URL,Comment
Rice Paper - Taste of Vietnam,,https://www.google.com/maps/place/Rice+Paper+-+Taste+of+Vietnam/data=!4m2!3m1!1s0x89b7b4895660b097:0x7db0f7885da0fc16,
Young and Rich NY,,https://www.google.com/maps/place/Young+and+Rich+NY/data=!4m2!3m1!1s0x89c261ad81cd9fef:0x9d5b0b0835e5bfc1,
Anju,korean food,https://www.google.com/maps/place/Anju/data=!4m2!3m1!1s0x89b7b7bd0d618fb7:0xd0048ad884ba1b83,
Un je ne sais Quoi...,good croissant,https://www.google.com/maps/place/Un+je+ne+sais+Quoi.../data=!4m2!3m1!1s0x89b7b7c7a5060359:0x9f363719e25e849e,
Tortino Restaurant,,https://www.google.com/maps/place/Tortino+Restaurant/data=!4m2!3m1!1s0x89b7b7eca213c849:0x21c1e14cacf791c5,
L'Ardente,,https://www.google.com/maps/place/L'Ardente/data=!4m2!3m1!1s0x89b7b778ad89cdfb:0x854eba7f581f0948,
The Yards,,https://www.google.com/maps/place/The+Yards/data=!4m2!3m1!1s0x89b7b9d7207fab4f:0x4ea43e59870c19cc,
Le Diplomate,,https://www.google.com/maps/place/Le+Diplomate/data=!4m2!3m1!1s0x89b7b7e98b248281:0xd4a7e9dfb8af8964,
Fresh Baguette,,https://www.google.com/maps/place/Fresh+Baguette/data=!4m2!3m1!1s0x89b7b7473bd2710b:0x98814422f3c32326,
doi moi,,https://www.google.com/maps/place/doi+moi/data=!4m2!3m1!1s0x89b7b7e847534627:0xd4218db042e13a2c,
YELLOW Georgetown,,https://www.google.com/maps/place/YELLOW+Georgetown/data=!4m2!3m1!1s0x89b7b7ec99e12f01:0x730b21e3c31ac4d2,
Café Georgetown,,https://www.google.com/maps/place/Caf%C3%A9+Georgetown/data=!4m2!3m1!1s0x89b7b64983b14983:0x3326bae787ff8c39,
