friends

Title,Note,URL,Comment
Foreigner NYC,,https://www.google.com/maps/place/Foreigner+NYC/data=!4m2!3m1!1s0x89c259291f08c55d:0x4ba10f915255da8a,
Original BTC - New York,there’s a really cute new cafe across with delicious pastries,https://www.google.com/maps/place/Original+BTC+-+New+York/data=!4m2!3m1!1s0x89c2598bfbfc806f:0x3634eefa6f1d2263,
Modoo Chicken and Noodle Bar,saud recommendation,https://www.google.com/maps/place/Modoo+Chicken+and+Noodle+Bar/data=!4m2!3m1!1s0x89c261e22b08286f:0x82dc0774f3fcb780,
Miraj Healthy Grill,saud ,https://www.google.com/maps/place/Miraj+Healthy+Grill/data=!4m2!3m1!1s0x89c26289ed22595b:0xf2c73eaa64ce31ea,
TUMBAO,,https://www.google.com/maps/place/TUMBAO/data=!4m2!3m1!1s0x89c25b0a04bc1191:0x1fbd156370ee51f5,
Daniel,,https://www.google.com/maps/place/Daniel/data=!4m2!3m1!1s0x89c258ee8e46d6d3:0x947c96d0b0de75c,
Cafe MSMN,,https://www.google.com/maps/place/Cafe+MSMN/data=!4m2!3m1!1s0x89c259e9174897b7:0x45dcc10c78203a67,
Georgie’s Cafe & Bar,,https://www.google.com/maps/place/Georgie%E2%80%99s+Cafe+%26+Bar/data=!4m2!3m1!1s0x89c25981fe1cc31b:0x7ad84207028e4d62,
Sky Pavilion 川雲涧,,https://www.google.com/maps/place/Sky+Pavilion+%E5%B7%9D%E9%9B%B2%E6%B6%A7/data=!4m2!3m1!1s0x89c2590075097a01:0x5fd658986578cd99,
Restaurant Yuu,,https://www.google.com/maps/place/Restaurant+Yuu/data=!4m2!3m1!1s0x89c25933302a6787:0x12af6cff342ac3a8,
The Uncommons,,https://www.google.com/maps/place/The+Uncommons/data=!4m2!3m1!1s0x89c25991bc886989:0xee1e9d3564f4da55,
Mama's TOO! Pizzeria West Village,,https://www.google.com/maps/place/Mama's+TOO!+Pizzeria+West+Village/data=!4m2!3m1!1s0x89c2590062ae6aef:0x48a50aec455a2736,
Attaboy,,https://www.google.com/maps/place/Attaboy/data=!4m2!3m1!1s0x89c25987040cb40d:0x20e5151ff00b2e55,
8282,,https://www.google.com/maps/place/8282/data=!4m2!3m1!1s0x89c2591b7208a535:0x56cf8479930f8f1c,
Manjul Coffee & Clothing,,https://www.google.com/maps/place/Manjul+Coffee+%26+Clothing/data=!4m2!3m1!1s0x89c259007f4892cb:0x8082cbdf772d1d6b,
Yingtao,,https://www.google.com/maps/place/Yingtao/data=!4m2!3m1!1s0x89c2591da2248991:0x9886615699724d13,
Misi,,https://www.google.com/maps/place/Misi/data=!4m2!3m1!1s0x89c259fa53acb4c3:0x75e745e94a922113,
all & sundry,,https://www.google.com/maps/place/all+%26+sundry/data=!4m2!3m1!1s0x89c259f705817e09:0xb5be362fc8a2a805,
Lilia,,https://www.google.com/maps/place/Lilia/data=!4m2!3m1!1s0x89c2595bea837025:0x77eb07a48c30f727,
Lake Del Valle,,https://www.google.com/maps/place/Lake+Del+Valle/data=!4m2!3m1!1s0x808fd9598e194853:0x450ef7a78e2653bc,
Rawmantic Chocolate,dubai chocolate ,https://www.google.com/maps/place/Rawmantic+Chocolate/data=!4m2!3m1!1s0x89c259d8c7606765:0xac27eb45941a562f,
little uluh,,https://www.google.com/maps/place/little+uluh/data=!4m2!3m1!1s0x89c2598b3c3542d3:0x54cb7a24f36d9c0,
Mountain House Times Square 川山甲,,https://www.google.com/maps/place/Mountain+House+Times+Square+%E5%B7%9D%E5%B1%B1%E7%94%B2/data=!4m2!3m1!1s0x89c259004873d67f:0x3de10e866f3f0590,
