Title,Note,URL,Comment
Thiên Đường Săn Mây Cầu Đất,,https://www.google.com/maps/place/Thi%C3%AAn+%C4%90%C6%B0%E1%BB%9Dng+S%C4%83n+M%C3%A2y+C%E1%BA%A7u+%C4%90%E1%BA%A5t/data=!4m2!3m1!1s0x317117b206cd49bb:0x8c54c53d4a078609,
Hearth,,https://www.google.com/maps/place/Hearth/data=!4m2!3m1!1s0x89c2599df9743641:0x40179556d46f5f86,
K'Far,mushroom hummus is really good,https://www.google.com/maps/place/K'Far/data=!4m2!3m1!1s0x89c259b7d52b32e9:0x48f7d3ce32dfe0c0,
Lady Wong Pastry & Cakes,southeast asian flavors,https://www.google.com/maps/place/Lady+Wong+Pastry+%26+Cakes/data=!4m2!3m1!1s0x89c25962b203b307:0x4a92e8304c10ee91,
La Cabra Bakery,best croissant and pastries in nyc,https://www.google.com/maps/place/La+Cabra+Bakery/data=!4m2!3m1!1s0x89c259e94678df4f:0x6dddc4c5f900a76,
Breads Bakery,really good croissant. famous for their chocolate babka,https://www.google.com/maps/place/Breads+Bakery/data=!4m2!3m1!1s0x89c259987e9b6771:0x9cc8db3e64cdb346,
Cho Dang Gol,"must order: SamGae Tang (ginseng chicken soup)
their curd dishes are famous too",https://www.google.com/maps/place/Cho+Dang+Gol/data=!4m2!3m1!1s0x89c259a963364753:0xcf37071ffd9c5c2a,
Bagel Pub,,https://www.google.com/maps/place/Bagel+Pub/data=!4m2!3m1!1s0x89c2591245e597dd:0xa1e35ddada3e1308,
Broad Nosh Bagels Deli & Catering 58th Street,,https://www.google.com/maps/place/Broad+Nosh+Bagels+Deli+%26+Catering+58th+Street/data=!4m2!3m1!1s0x89c25980ff435b6d:0x5fd66519f6029754,
Tin Building by Jean-Georges,,https://www.google.com/maps/place/Tin+Building+by+Jean-Georges/data=!4m2!3m1!1s0x89c25b5c2fb3c20f:0x9445c2a840caa981,
OKONOMI // YUJI Ramen,,https://www.google.com/maps/place/OKONOMI+%2F%2F+YUJI+Ramen/data=!4m2!3m1!1s0x89c2595831328cd9:0xfad5f1be4ddd8e13,
Patisserie Tomoko,,https://www.google.com/maps/place/Patisserie+Tomoko/data=!4m2!3m1!1s0x89c2595b96142e07:0xf0afbd200c3abadc,
Apotheke Chinatown,,https://www.google.com/maps/place/Apotheke+Chinatown/data=!4m2!3m1!1s0x89c25a26f12e1137:0x16c8e1352e0c1901,
Spicy Village,,https://www.google.com/maps/place/Spicy+Village/data=!4m2!3m1!1s0x89c25a281fc4cab7:0xefe26f1bb5922e6,
Double Chicken Please,,https://www.google.com/maps/place/Double+Chicken+Please/data=!4m2!3m1!1s0x89c2594f17616e23:0xfe458d735da2699e,
Book Club,,https://www.google.com/maps/place/Book+Club/data=!4m2!3m1!1s0x89c25920e6e311c3:0xdb1ca1937b3d96fe,
Oxomoco,,https://www.google.com/maps/place/Oxomoco/data=!4m2!3m1!1s0x89c25940eeb3ffff:0xb204737f07ea317b,
Nai,,https://www.google.com/maps/place/Nai/data=!4m2!3m1!1s0x89c2599d93a450d3:0xd142418995f4756,
Radio Bakery,,https://www.google.com/maps/place/Radio+Bakery/data=!4m2!3m1!1s0x89c259f7069ad989:0x7eadffe63191e6a5,
AOI Kitchen,,https://www.google.com/maps/place/AOI+Kitchen/data=!4m2!3m1!1s0x89c2594030e36af9:0xf02607d2e55ff65a,
Devoción,,https://www.google.com/maps/place/Devoci%C3%B3n/data=!4m2!3m1!1s0x89c259292a99521f:0xddfc3772b4b10463,
Turntable Chicken Jazz,,https://www.google.com/maps/place/Turntable+Chicken+Jazz/data=!4m2!3m1!1s0x89c259a85f586159:0xb8896ce49de55389,
RYNN,,https://www.google.com/maps/place/RYNN/data=!4m2!3m1!1s0x89c259f2e03e32fb:0x890885467b65fce3,
Magazzino Italian Art,,https://www.google.com/maps/place/Magazzino+Italian+Art/data=!4m2!3m1!1s0x89dd34bf1b388f2f:0x2e246d8494f79b2b,
Pier 57 Rooftop Park,,https://www.google.com/maps/place/Pier+57+Rooftop+Park/data=!4m2!3m1!1s0x89c25954872ab863:0x75593345272b577f,
MANITOGA / The Russel Wright Design Center,,https://www.google.com/maps/place/MANITOGA+%2F+The+Russel+Wright+Design+Center/data=!4m2!3m1!1s0x89c2cc1baad6b24d:0x8f52d83c9fe04cff,
Osamil Upstairs,"speakeasy upstairs of Osamil, book early, booked separately from Osamil",https://www.google.com/maps/place/Osamil+Upstairs/data=!4m2!3m1!1s0x89c259215a5a30a9:0x604fb7091a55136a,
Bar Moga,,https://www.google.com/maps/place/Bar+Moga/data=!4m2!3m1!1s0x89c2598df8d92e47:0xa12703a46b7b6d42,
Porto Rico Importing Co.,"very good coffee selection
recommend kenya AA beans",https://www.google.com/maps/place/Porto+Rico+Importing+Co./data=!4m2!3m1!1s0x89c259923c36e4eb:0xe6fb1b46151d75a9,
Mountain House Manhattan 川山甲,if you like spicy food ,https://www.google.com/maps/place/Mountain+House+Manhattan+%E5%B7%9D%E5%B1%B1%E7%94%B2/data=!4m2!3m1!1s0x89c2599c79b00001:0xef65378399982a9b,
Hudson River Park,,https://www.google.com/maps/place/Hudson+River+Park/data=!4m2!3m1!1s0x89c259c7afaaaaab:0xab292397000fa636,
Dumbo,,https://www.google.com/maps/place/Dumbo/data=!4m2!3m1!1s0x89c25a316f3eb0fb:0xceb1d92c1cafc9c3,
Williamsburg,,https://www.google.com/maps/place/Williamsburg/data=!4m2!3m1!1s0x89c25bfd06c12a41:0x8279f2291cc5d76c,
Central Park,,https://www.google.com/maps/place/Central+Park/data=!4m2!3m1!1s0x89c2589a018531e3:0xb9df1f7387a94119,
The High Line,,https://www.google.com/maps/place/The+High+Line/data=!4m2!3m1!1s0x89c259c7840fb4e5:0x583f615c850a3c91,
Chelsea Market,,https://www.google.com/maps/place/Chelsea+Market/data=!4m2!3m1!1s0x89c259bf144c69c3:0x7e61762e972dc0a2,
Mercado Little Spain,"spanish food market, lots of good food ",https://www.google.com/maps/place/Mercado+Little+Spain/data=!4m2!3m1!1s0x89c25939508b1f83:0x4758780c43d6af37,
Thirteen Water,pretty good omakase 13 courses only $75,https://www.google.com/maps/place/Thirteen+Water/data=!4m2!3m1!1s0x89c2595b5e8739b1:0xb1625653da1c2b5e,
Setsugekka East Village,,https://www.google.com/maps/place/Setsugekka+East+Village/data=!4m2!3m1!1s0x89c2599cc2a45917:0xf451758d74242c2d,
Librae Bakery,,https://www.google.com/maps/place/Librae+Bakery/data=!4m2!3m1!1s0x89c25943f1ac200f:0x35eadc7fbe1dd768,
Mango Mango Artisan Lab,really good asian style dessert ,https://www.google.com/maps/place/Mango+Mango+Artisan+Lab/data=!4m2!3m1!1s0x89c2599c790864a1:0x9b7684d37cbd44c2,
Wenwen,taiwanese fusion,https://www.google.com/maps/place/Wenwen/data=!4m2!3m1!1s0x89c2595f20f6ca99:0xee8ef144f9bfebaf,
886,taiwanese fusion ,https://www.google.com/maps/place/886/data=!4m2!3m1!1s0x89c2599c7fcbb829:0x7b5e34986081ae61,
Culture An American Yogurt Company & Juice Bar by Culture,,https://www.google.com/maps/place/Culture+An+American+Yogurt+Company+%26+Juice+Bar+by+Culture/data=!4m2!3m1!1s0x89c25996c78bea43:0x2f22f4d10b42cd68,
Song' E Napule,"best neopolitan pizza, everything is good
reasonably priced too",https://www.google.com/maps/place/Song'+E+Napule/data=!4m2!3m1!1s0x89c2598df58a8ad3:0x694ff9c48d50f83,
Katz's Delicatessen,must order: beef pastrami sandwich ,https://www.google.com/maps/place/Katz's+Delicatessen/data=!4m2!3m1!1s0x89c2598f7ff4aa09:0x313547e757cb8cea,
Osamil,"one of the best korean fusion. they change up the menu once in a while 
must order: uni bibimbap, pork hock, or anything from the “to share” menu",https://www.google.com/maps/place/Osamil/data=!4m2!3m1!1s0x89c259a8f338358f:0xf5584fff2f5d5c47,
Take 31,"very good modern korean fusion
must order: signature makgulli, I cannot rave enough
remember to bring ID though it’s alcoholic",https://www.google.com/maps/place/Take+31/data=!4m2!3m1!1s0x89c259a86e53e6e7:0xdcd5313427c60f3b,
Yoon Haeundae Galbi,"super delicious korean BBQ, uni bibimbap was bomb",https://www.google.com/maps/place/Yoon+Haeundae+Galbi/data=!4m2!3m1!1s0x89c259a98d370d3f:0xbad51cf0d0ecca9a,
