Title,Note,URL,Comment
Cotogna,,https://www.google.com/maps/place/Cotogna/data=!4m2!3m1!1s0x808580f5182f4603:0x355bdd340d9a7979,
La Connessa,,https://www.google.com/maps/place/La+Connessa/data=!4m2!3m1!1s0x808f7fd7af52d1bb:0x2053af52782d190c,
Spruce,,https://www.google.com/maps/place/Spruce/data=!4m2!3m1!1s0x808587317bf94eff:0xb16d662a9194be31,
Butter & Crumble,,https://www.google.com/maps/place/Butter+%26+Crumble/data=!4m2!3m1!1s0x808581c387a8b12f:0x786e8f4be25357e2,
Dawn Ranch,,https://www.google.com/maps/place/Dawn+Ranch/data=!4m2!3m1!1s0x80841f59a628f065:0xc60641eef08df6bb,
The Interval at Long Now,,https://www.google.com/maps/place/The+Interval+at+Long+Now/data=!4m2!3m1!1s0x808581277bcfae83:0x52c6d92ef2e8493a,
Crustacean Restaurant,,https://www.google.com/maps/place/Crustacean+Restaurant/data=!4m2!3m1!1s0x80858094d198366d:0x6f5d3f4f7204837c,
Saint Frank Coffee,,https://www.google.com/maps/place/Saint+Frank+Coffee/data=!4m2!3m1!1s0x808580e84308f899:0x1a6c72e2732c9aab,
Müesi Cafe,,https://www.google.com/maps/place/M%C3%BCesi+Cafe/data=!4m2!3m1!1s0x8085814f7fe7e4cd:0x60d6d0c19f9d27ea,
Henry’s Hunan Restaurant,,https://www.google.com/maps/place/Henry%E2%80%99s+Hunan+Restaurant/data=!4m2!3m1!1s0x8085807d24a12a39:0xab033f32203b7de4,
Jitlada Thai Cuisine,,https://www.google.com/maps/place/Jitlada+Thai+Cuisine/data=!4m2!3m1!1s0x808580b8b444fc1d:0x4fe3f6b37480400c,
Ping Yang Thai Grill & Dessert,,https://www.google.com/maps/place/Ping+Yang+Thai+Grill+%26+Dessert/data=!4m2!3m1!1s0x808581cc1754e521:0x8ea44c756db7bee9,
Coffee Cultures,,https://www.google.com/maps/place/Coffee+Cultures/data=!4m2!3m1!1s0x808581798820e271:0x2e41eeec46bd6c46,
um.ma,,https://www.google.com/maps/place/um.ma/data=!4m2!3m1!1s0x80858746c35b9bf3:0xe05b57ade12e7221,
Not Latte,,https://www.google.com/maps/place/Not+Latte/data=!4m2!3m1!1s0x80858705a750a81b:0x56165a501819a2d7,
Causwells,,https://www.google.com/maps/place/Causwells/data=!4m2!3m1!1s0x808580d439f7c8ef:0x4535d182f05476fe,
The Pawn Shop,,https://www.google.com/maps/place/The+Pawn+Shop/data=!4m2!3m1!1s0x808581ea2ba5cd9b:0x98892095757a3a16,
Members Only,,https://www.google.com/maps/place/Members+Only/data=!4m2!3m1!1s0x8085812158152f49:0x4d9e2bb90318e6ad,
La Taqueria,,https://www.google.com/maps/place/La+Taqueria/data=!4m2!3m1!1s0x808f7e46d50136ad:0x21fce96ce541e475,
