Title,Note,URL,Comment
782 Knotts Pl,jason 家,https://www.google.com/maps/place/782+Knotts+Pl/data=!4m2!3m1!1s0x808fcc56afe8af63:0xb23b7473eb88e859,
Shang Cafe Fremont,,https://www.google.com/maps/place/Shang+Cafe+Fremont/data=!4m2!3m1!1s0x808fc76c682b0deb:0xca655298014e3b05,
Wei's Fish,,https://www.google.com/maps/place/Wei's+Fish/data=!4m2!3m1!1s0x808fb5209e7a7f75:0x378069de2f44f800,
JX Cuisine,,https://www.google.com/maps/place/JX+Cuisine/data=!4m2!3m1!1s0x808fb5885ac0385b:0x73b760da8d671189,
Jang Su Jang,,https://www.google.com/maps/place/Jang+Su+Jang/data=!4m2!3m1!1s0x808fc928475a7add:0x98ae0478e7067790,
Sifu Wong Kitchen,,https://www.google.com/maps/place/Sifu+Wong+Kitchen/data=!4m2!3m1!1s0x808fc98aff770bf1:0x3d19c54c5ac78ffc,
Restaurant Chungdam,,https://www.google.com/maps/place/Restaurant+Chungdam/data=!4m2!3m1!1s0x808fca0c53594b83:0x2b0e00ff3f48a38f,
Falafel STOP,,https://www.google.com/maps/place/Falafel+STOP/data=!4m2!3m1!1s0x808fb5d681ffd42d:0x86fc95f3cc7e8704,
Mikiya Wagyu Shabu House,,https://www.google.com/maps/place/Mikiya+Wagyu+Shabu+House/data=!4m2!3m1!1s0x808fb5d92bf4ef55:0x7f2c7ce05d5234d8,
whaT's More cake,,https://www.google.com/maps/place/whaT's+More+cake/data=!4m2!3m1!1s0x808fb742d70feccb:0xe317cb7fa56d574e,
INDO Restaurant & Lounge,,https://www.google.com/maps/place/INDO+Restaurant+%26+Lounge/data=!4m2!3m1!1s0x80dc64556b5bcf0b:0xcfef2485519a6ef,
Xiaoman Riceburrito,,https://www.google.com/maps/place/Xiaoman+Riceburrito/data=!4m2!3m1!1s0x808fb732acfb38c5:0x92d529bbe2b63de5,
Ox 9 Lanzhou Hand Pulled Noodles,,https://www.google.com/maps/place/Ox+9+Lanzhou+Hand+Pulled+Noodles/data=!4m2!3m1!1s0x808fc8bae1601319:0x7953d6abead09802,
Banana Leaf Restaurant,,https://www.google.com/maps/place/Banana+Leaf+Restaurant/data=!4m2!3m1!1s0x808fc8df21f79fd5:0x8ef97535620a4216,
Stevens Creek County Park,,https://www.google.com/maps/place/Stevens+Creek+County+Park/data=!4m2!3m1!1s0x808fb362d4801c69:0x4261e4d64ca117af,
Seoul Gom Tang,,https://www.google.com/maps/place/Seoul+Gom+Tang/data=!4m2!3m1!1s0x808fca1282127313:0xec5beae77718c944,
Osaka Marketplace,,https://www.google.com/maps/place/Osaka+Marketplace/data=!4m2!3m1!1s0x808fc71a83bb6811:0x5ab13b1fec085d95,
Satura Cakes,,https://www.google.com/maps/place/Satura+Cakes/data=!4m2!3m1!1s0x808fb0efb3c24b1b:0x6f21a07e2c80dcf8,
四姐 Special Noodle,,https://www.google.com/maps/place/%E5%9B%9B%E5%A7%90+Special+Noodle/data=!4m2!3m1!1s0x808fb50aadd57c95:0xa026fe2dc75d1c38,
Leichi,,https://www.google.com/maps/place/Leichi/data=!4m2!3m1!1s0x808fcaf39c1c7265:0x607b1c94f168d3b5,
Bar Bonmot,,https://www.google.com/maps/place/Bar+Bonmot/data=!4m2!3m1!1s0x808fb577b1e9f67f:0x7dfed848164c190f,
Sushi Adachi,,https://www.google.com/maps/place/Sushi+Adachi/data=!4m2!3m1!1s0x808fc9168e8b8115:0x45beae0f2e5d234f,
