Title,Note,URL,Comment
沙丘,,https://www.google.com/maps/place/%E6%B2%99%E4%B8%98/data=!4m2!3m1!1s0x3442a952ed2bd54f:0x3d91688547bff9b,
Dourakuyatai Ramen,,https://www.google.com/maps/place/Dourakuyatai+Ramen/data=!4m2!3m1!1s0x3442aeb06f798787:0x84d2e3b67fa141bc,
鳳華鶏豚濃湯拉麵專門 本店（鳳華拉麵）,,https://www.google.com/maps/place/%E9%B3%B3%E8%8F%AF%E9%B6%8F%E8%B1%9A%E6%BF%83%E6%B9%AF%E6%8B%89%E9%BA%B5%E5%B0%88%E9%96%80+%E6%9C%AC%E5%BA%97%EF%BC%88%E9%B3%B3%E8%8F%AF%E6%8B%89%E9%BA%B5%EF%BC%89/data=!4m2!3m1!1s0x3442ad1241f1cb05:0x8ef4efd34b10f9f2,
雞吉君拉麵-內湖店,,https://www.google.com/maps/place/%E9%9B%9E%E5%90%89%E5%90%9B%E6%8B%89%E9%BA%B5-%E5%85%A7%E6%B9%96%E5%BA%97/data=!4m2!3m1!1s0x3442ac690cb1dab5:0x2287b1e0c714de1b,
長生塩人 民生,,https://www.google.com/maps/place/%E9%95%B7%E7%94%9F%E5%A1%A9%E4%BA%BA+%E6%B0%91%E7%94%9F/data=!4m2!3m1!1s0x3442ab3de69ed68b:0x3ac5197cb544f9fd,
MUY 莯以咖啡,,https://www.google.com/maps/place/MUY+%E8%8E%AF%E4%BB%A5%E5%92%96%E5%95%A1/data=!4m2!3m1!1s0x3442a94e888d1e57:0x8ea47774796aac32,
Le Park Cafe (French café),,https://www.google.com/maps/place/Le+Park+Cafe+(French+caf%C3%A9)/data=!4m2!3m1!1s0x3442abe0b7555ea1:0xf93b15b1d16adf5f,
六丁目,,https://www.google.com/maps/place/%E5%85%AD%E4%B8%81%E7%9B%AE/data=!4m2!3m1!1s0x3442ab92bcaea22b:0x4284b6874b7a4cbb,
瀧厚炙燒熟成牛排 台北.民生店,,https://www.google.com/maps/place/%E7%80%A7%E5%8E%9A%E7%82%99%E7%87%92%E7%86%9F%E6%88%90%E7%89%9B%E6%8E%92+%E5%8F%B0%E5%8C%97.%E6%B0%91%E7%94%9F%E5%BA%97/data=!4m2!3m1!1s0x3442ab090567ad6f:0xf6f38d8695d0384b,
巷上食璞川菜客家菜,,https://www.google.com/maps/place/%E5%B7%B7%E4%B8%8A%E9%A3%9F%E7%92%9E%E5%B7%9D%E8%8F%9C%E5%AE%A2%E5%AE%B6%E8%8F%9C/data=!4m2!3m1!1s0x3442ac6e4c3eaa05:0x1cecc57b7641f648,
根本在旅行,,https://www.google.com/maps/place/%E6%A0%B9%E6%9C%AC%E5%9C%A8%E6%97%85%E8%A1%8C/data=!4m2!3m1!1s0x3442ab02528004bb:0x7abc63753aa18772,
Cobalt Blue Coffee 鈷藍咖啡,,https://www.google.com/maps/place/Cobalt+Blue+Coffee+%E9%88%B7%E8%97%8D%E5%92%96%E5%95%A1/data=!4m2!3m1!1s0x3442ab458a11fce5:0xe7744af0f6fedcd4,
Qin Wei Guan,,https://www.google.com/maps/place/Qin+Wei+Guan/data=!4m2!3m1!1s0x3442abc5fd9afbd3:0xf1bb14e50b01b521,
Li Yuan,,https://www.google.com/maps/place/Li+Yuan/data=!4m2!3m1!1s0x3442abddbaccd7d5:0x1f6ac074ca937074,
Oasis Coffee Roasters - Nanjing,,https://www.google.com/maps/place/Oasis+Coffee+Roasters+-+Nanjing/data=!4m2!3m1!1s0x3442ab22d5d41681:0xf8e7cfd5f833e211,
NORMAL COFFEE 敦北店,,https://www.google.com/maps/place/NORMAL+COFFEE+%E6%95%A6%E5%8C%97%E5%BA%97/data=!4m2!3m1!1s0x3442ab9a3caef03f:0x415efc9d833f6db,
La Cucina di Flora,,https://www.google.com/maps/place/La+Cucina+di+Flora/data=!4m2!3m1!1s0x3442ab60c598924f:0x7cb80835590ed640,
湯米粉 TOM FANS,,https://www.google.com/maps/place/%E6%B9%AF%E7%B1%B3%E7%B2%89+TOM+FANS/data=!4m2!3m1!1s0x3442a927a7a23425:0xa71e0458df48b91c,
胡饕米粉湯55年老店(三重文化店),,https://www.google.com/maps/place/%E8%83%A1%E9%A5%95%E7%B1%B3%E7%B2%89%E6%B9%AF55%E5%B9%B4%E8%80%81%E5%BA%97(%E4%B8%89%E9%87%8D%E6%96%87%E5%8C%96%E5%BA%97)/data=!4m2!3m1!1s0x3442a90059eb2701:0xb1e60652e89e8ab9,
我們在海邊,,https://www.google.com/maps/place/%E6%88%91%E5%80%91%E5%9C%A8%E6%B5%B7%E9%82%8A/data=!4m2!3m1!1s0x3442b12ea479d17f:0x4f40844ba9a2a11d,
伊禾白湯,,https://www.google.com/maps/place/%E4%BC%8A%E7%A6%BE%E7%99%BD%E6%B9%AF/data=!4m2!3m1!1s0x3442ab68691ab6d3:0xf32b841d25339852,
高級食パン専門店 TREES BREAD,,https://www.google.com/maps/place/%E9%AB%98%E7%B4%9A%E9%A3%9F%E3%83%91%E3%83%B3%E5%B0%82%E9%96%80%E5%BA%97+TREES+BREAD/data=!4m2!3m1!1s0x3442abd99fb0bf21:0x619466b76514f571,
