Title,Note,URL,Comment
茗香園冰室 - 中山店,,https://www.google.com/maps/place/%E8%8C%97%E9%A6%99%E5%9C%92%E5%86%B0%E5%AE%A4+-+%E4%B8%AD%E5%B1%B1%E5%BA%97/data=!4m2!3m1!1s0x3442a96e9dbfac11:0x3fdf6d1b5b5eefd2,
Le Cinq,,https://www.google.com/maps/place/Le+Cinq/data=!4m2!3m1!1s0x3442ab260066329b:0xe0828d9509a0bd7,
Last Order 餐酒館,,https://www.google.com/maps/place/Last+Order+%E9%A4%90%E9%85%92%E9%A4%A8/data=!4m2!3m1!1s0x3442a90f24806807:0x56e2d60056adf216,
牛髓知味紅燒牛肉麵,,https://www.google.com/maps/place/%E7%89%9B%E9%AB%93%E7%9F%A5%E5%91%B3%E7%B4%85%E7%87%92%E7%89%9B%E8%82%89%E9%BA%B5/data=!4m2!3m1!1s0x3442a98ab4ce0051:0xd716ccbcbcd27043,
Fuhong Beef Noodles,,https://www.google.com/maps/place/Fuhong+Beef+Noodles/data=!4m2!3m1!1s0x3442a90e87e6d60b:0x2a5448854fda3233,
Du Li Beef Noodle Restaurant,,https://www.google.com/maps/place/Du+Li+Beef+Noodle+Restaurant/data=!4m2!3m1!1s0x3442a9088e0d9553:0x71ed083f38823664,
木咖 Horoka,,https://www.google.com/maps/place/%E6%9C%A8%E5%92%96+Horoka/data=!4m2!3m1!1s0x3442a9dee9123cf3:0x9118f3aceb583586,
錐子日式可麗餅咖啡專賣 ドリンコ,,https://www.google.com/maps/place/%E9%8C%90%E5%AD%90%E6%97%A5%E5%BC%8F%E5%8F%AF%E9%BA%97%E9%A4%85%E5%92%96%E5%95%A1%E5%B0%88%E8%B3%A3+%E3%83%89%E3%83%AA%E3%83%B3%E3%82%B3/data=!4m2!3m1!1s0x3442a92f752b9cc7:0x5277fb50f7a0f5a2,
楽坡BonBox - 台北內湖店 / 樂坡舒肥健康餐盒,,https://www.google.com/maps/place/%E6%A5%BD%E5%9D%A1BonBox+-+%E5%8F%B0%E5%8C%97%E5%85%A7%E6%B9%96%E5%BA%97+%2F+%E6%A8%82%E5%9D%A1%E8%88%92%E8%82%A5%E5%81%A5%E5%BA%B7%E9%A4%90%E7%9B%92/data=!4m2!3m1!1s0x3442add3493e6f07:0x1430af33f569134e,
THE·春,,https://www.google.com/maps/place/THE%C2%B7%E6%98%A5/data=!4m2!3m1!1s0x3442ab679418338d:0xf42d62fee0855a14,
